brewery,beertype,rating,name,ABV
Jopen,INDIA_PALE_ALE,5,Mooie Nel IPA,7
Jopen,INDIA_PALE_ALE,5,Hop zij met ons,4.5
't IJ, INDIA_PALE_ALE,4.5,IPA,6
Kees,INDIA_PALE_ALE,5,Citra Pale Ale,4
Erdinger,WEIZEN,4,Weissenbrau, 5
Brand,PILSNER,4,Brand Up,5.5
Noordt,PILSNER,4,Syntouch Platinum,5
Amstel Brouwerij B. V.,LAGER,2.5,Amstel Light,3.5
Caldera Brewing Company,LAGER,4,Caldera OBF 15,5.6
Caldera Brewing Company,LAGER,3,Lawnmower Lager,3.9
Amstel Brouwerij B. V.,LAGER,3,Amstel Bright,5
Amstel Brouwerij B. V.,LAGER,3,Amstel Gold,7
Amstel Brouwerij B. V.,LAGER,3,Amstel Sterk (Strong),7.5
Calapooia Brewing Company,LAGER,2.5,Pacific Pilsner,4.5
Amstel Brouwerij B. V.,LAGER,2,Amstel (Pure Filtered),4.7
Amstel Brouwerij B. V.,LAGER,3.5,Amstel Lager,5
"Clockwork Beer Co, The",LAGER,3.5,Original Lager,4.8
Hokusetsu Brewery,LAGER,1.5,Nobu Special Reserve,5.5
Broad Ripple Brew Pub,LAGER,4.5,Amarillo Lager,5
Broad Ripple Brew Pub,LAGER,5,Black Heart Lager,5.9
Brauerei Neder,LAGER,4,Neder FaÃŸbier,5.2
Brauerei Neder,LAGER,4,Erstes Forchheimer Braunbier,4.9
Brew Eyed,LAGER,3.5,Brew Eyed Lager,4.5
The Stable,LAGER,3,Amalgamated Zoigl,5
Meta Abo Brewery - Ethiopia,LAGER,3.5,Meta Export Lager,5
Asmara Breweries,LAGER,3.5,Asmara Lager Beer,5
Voronezhsky Brewery,LAGER,3,Zhigulovskoye,4
Bernard Family Brewery,LAGER,3.5,Bernard Semi-dark Lager (polotmavy Lezak),4.5
Bernard Family Brewery,LAGER,3.5,PraÂže&#269;ka Christmas,5.8
Bernard Family Brewery,LAGER,3,Bernard JantarovÃ½ LeÂžÃ¡k,4.7
Bernard Family Brewery,LAGER,3.5,Bernard Cerne,5
Crescent City Brewhouse,LAGER,3.5,Red Stallion,5.8
Piniavos Alutis,LAGER,3,Raudonyu Dobilu Alus,5.5
Pivovarna LaÅ¡ko,LAGER,3,Lasko Club,4.9
Pivovarna LaÅ¡ko,LAGER,3,Goldhorn Club,4.9
No-Li Brewhouse,LAGER,4,Chocolate Dunkel,6.5
Accra Brewery Limited,LAGER,3,Club Premium Lager,5
Accra Brewery Limited,LAGER,1.5,Stone Strong Lager,5.7
Brasserie d'Algiers,LAGER,1.5,Rege,1.5
Sauris AgriBeer S.a.s,LAGER,3.5,Zahre Rossa Vienna,6
Emmett's Brewing Company,LAGER,4.5,1871 Lager,6
Kompania Piwowarska,LAGER,4,Lech Premium,5.3
Stakhanovitz,LAGER,1,Bogemia,8.4
Marco Island Brewery,LAGER,3.5,Funky Pelican Pilsner,5
Harmon Restaurant & Brewery,LAGER,4,Vienna Lager,6.8
Al Ahram Beverages Company,LAGER,3,Sakara Gold,4
Al Ahram Beverages Company,LAGER,2,Stella,4.5
Al Ahram Beverages Company,LAGER,2,Stella Export,5.2
Al Ahram Beverages Company,LAGER,2.5,Stella Premium,6.4
Al Ahram Beverages Company,LAGER,2,Meister,5
Al Ahram Beverages Company,LAGER,2,Meister Max,8
Al Ahram Beverages Company,LAGER,4,Sakara Red,5.2
Brauerei Aldersbach,LAGER,3.5,Klosterhell,5.2
Brauerei Aldersbach,LAGER,4,Urhell,5.1
Trafalgar Ales & Meads,LAGER,2.5,Elora Grand Lager,5
Bluegrass Brewing Co. - East St. Matthew's,LAGER,3.5,Wort Hog Dort,6
Bluegrass Brewing Co. - East St. Matthew's,LAGER,3,Bourbon Barrel Munich-Style Helles,8
Bath Ales Ltd,LAGER,2.5,Organic Lager,5
The Cowboy Restaurant & Brewery,LAGER,4.5,Zona Brewing Helles,4.8
Growlers,LAGER,4,Log Towne Lager,5.7
Pivovarna LaÅ¡ko,LAGER,3.5,Netopir,4
Pivovarna LaÅ¡ko,LAGER,4,Lahko Lasko,3
Pivovarna LaÅ¡ko,LAGER,2,Roler,2.5
Pivovarna LaÅ¡ko,LAGER,3,Kplus Pivo,4
Wasatch Brew Pub,LAGER,3.5,Summerbrau Lager,5.6
Yazoo Brewing Company,LAGER,3.5,Hap And Harry's Lynchburg Lager,4.5
Matso's Broome Brewery,LAGER,3,Matso's Smokey Bishop,4.7
Amstar,LAGER,2,Sokol Ice,4.7
Amstar,LAGER,2.5,Sokol Izolda,4.7
Amstar,LAGER,1,Amsterdam Navigator,8.5
Naturbier,LAGER,3,Dark,6.5
Naturbier,LAGER,3.5,Light,5
Spanish Springs Brewing Company,LAGER,3,Spanish Springs Sebald's Select,4.8
SchorschbrÃ¤u,LAGER,3.5,SchorschbrÃ¤u Dunkles,4.9
Birrificio B.O.A. (Birrificio Ostiense Artigianale),LAGER,2.5,O'Scura,6
Lido Atputas Centrs,LAGER,3.5,LIDO GaiÂšais,4.5
Lido Atputas Centrs,LAGER,4,LIDO Speci&#257;lais,4.5
Swan Brewery,LAGER,1,Swan MID,3.5
Swan Brewery,LAGER,1,EMU Bitter,4.6
Swan Brewery,LAGER,2,EMU Draft Midstrength,3.5
Swan Brewery,LAGER,1,EMU Export,4.5
Swan Brewery,LAGER,3,Swan Draught,4.8
Haymarket Pub & Brewery,LAGER,4,Six Point Star Golden American Lager,5
Haymarket Pub & Brewery,LAGER,4,BUK Black Rye Bock,7
Pivovar Ferdinand / Pivovar BeneÂšov,LAGER,3.5,Sedm KulÃ­ (13% SpeciÃ¡lnÃ­ Pivo PolotmavÃ© ),5.5
Pivovar Ferdinand / Pivovar BeneÂšov,LAGER,3.5,Ferdinand Tmavy Lezak,4.3
Pivovaren Zavod Varensko Pivo,LAGER,2,Varnensko,4.4
Pivovaren Zavod Varensko Pivo,LAGER,2,Haberman Premium Lager,4.4
Black Forest Brew Haus & Grill,LAGER,3.5,Black Forest Woody's Light,3.2
"Hijos De Rivera, S.A.",LAGER,2,Hijos De Rivera,4.7
"Hijos De Rivera, S.A.",LAGER,3.5,Estrella Galicia,5.5
"Hijos De Rivera, S.A.",LAGER,5,1906 Reserva Especial Can,4.6
"Hijos De Rivera, S.A.",LAGER,3.5,Estrella De Navidad 2004,6.8
William K Busch Brewing Company,LAGER,3.5,KrÃ¤ftig Light,4.2
RinkuÅ¡kiai Alaus Darykloje,LAGER,2.5,Zhigulyovskoye,5
RinkuÅ¡kiai Alaus Darykloje,LAGER,2,Aiko Pale,4.7
Cambridge Brewing Company,LAGER,4,Golden Slumbers,5.5
Founders Brewing Company,LAGER,4,Founders Super Gold,5.4
Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.,LAGER,3,Lezajsk 1525 Legendary Premium Lager,5.5
Founders Brewing Company,LAGER,2.5,Founders Noble Lager,4.9
Brauerei Heller-Trum / Schlenkerla,LAGER,4.5,Aecht Schlenkerla Helles Lagerbier,4.3
Heineken Nederland B.V.,LAGER,2.5,Heineken Lager Beer,5
Wildwood Brewing Co.,LAGER,2,Lake Louise Lager,5
Browar Okocim S.A. (Carlsberg),LAGER,3,Okocim Mocne,7.5
Florida Beer Company,LAGER,2.5,Ybor Gold Amber Lager,4.6
Browar Okocim S.A. (Carlsberg),LAGER,3.5,O.K. Beer,5.6
Imperial Premium Beer Ltda.,LAGER,3.5,Cidade Imperial Clara,4.5
Desert Edge Brewery,LAGER,3.5,Munich Lager,4
Kolos OAO/ Ledyanoy Stakanchik,LAGER,3,Beer Tyemnoye Vyechernoye,4.5
Kolos OAO/ Ledyanoy Stakanchik,LAGER,2.5,Beer Svetloye Klassik,5
Brauerei Gilde,LAGER,4,Wilkenburger Black,5.2
Brauerei Gilde,LAGER,4.5,Wilkenburger Lager,4.3
Browar Okocim S.A. (Carlsberg),LAGER,4,Palone,5.5
Browar Okocim S.A. (Carlsberg),LAGER,3.5,Okocim Mocne Premium Malt Liquor,7
Browar Okocim S.A. (Carlsberg),LAGER,3.5,Harnas,6.2
Browar Okocim S.A. (Carlsberg),LAGER,1,Karmi Classic,0.5
Browar Okocim S.A. (Carlsberg),LAGER,3.5,Okocim (Zagloba) Premium Beer,5.9
Browar Okocim S.A. (Carlsberg),LAGER,3,Piast,5.3
Browar Okocim S.A. (Carlsberg),LAGER,2.5,Okocim Jasne Pelne,5.8
Klosterbrauerei Weltenburg,LAGER,2.5,Weltenburger Kloster Barock Dunkel,4.7
Browar Okocim S.A. (Carlsberg),LAGER,3.5,Okocim Karmi,1.5
Browar Okocim S.A. (Carlsberg),LAGER,3.5,Piast Wroc&#322;awski,5.5
Mountaineer Brewing Co.,LAGER,4.5,Lager,4.3
Browar Kiper,LAGER,3,Kiper Pils,5.5
Browar Kiper,LAGER,3,Kiper Lager,6.2
Browar Kiper,LAGER,4,Kiper Mocne,7
Browar Kiper,LAGER,3,Kiper Extra Mocne,8.1
Browar Kiper,LAGER,3,Mocny Full,7
Pirinsko Pivo,LAGER,3,Pirinsko Svetlo,4.3
Bryggeriet Refsvindinge,LAGER,3,PÃ¥ske Bryg,5.7
Grumpy's Brewhaus,LAGER,3,Grumpy's Original Draught,4.9
Klosterbrauerei Weltenburg,LAGER,4,Weltenburger Kloster Urtyp Hell,4.9
Klosterbrauerei Weltenburg,LAGER,4,Weltenburger Kloster Barock-Hell,5.6
Taps Brewing Co. Inc.,LAGER,4,Taps Dunkel Bavarian Beer,5
Taps Brewing Co. Inc.,LAGER,4,Taps Premium Lager,5
Taps Brewing Co. Inc.,LAGER,3,Taps Wine Barrel Lager,5
Taps Brewing Co. Inc.,LAGER,3,Taps Charleston Lager,5.5
Livu Alus,LAGER,3.5,Livu Premium,5.5
Livu Alus,LAGER,2.5,L&#257;&#269;pl&#275;sis DiÂžalus (Lacplesis Grand Beer),7.3
Livu Alus,LAGER,2,L&#299;vu Sen&#269;u,5.2
Martins BrÃ¤u Erste Freiburger Gasthausbrauerei,LAGER,4,MartinÂ’s BrÃ¤u Dunkel Export,5.2
Wildwood Brewing Co.,LAGER,3,Sub Zero Lager,5
McCann's Food & Brew,LAGER,4,Middle Town Braun,4.5
Brauerei Heller-Trum / Schlenkerla,LAGER,4,Aecht Schlenkerla Krausen,4.55
Stadtbrauerei Spalt,LAGER,4,Spalter Helles Vollbier,4.8
South African Breweries plc,LAGER,1.5,Castle Lager,5
DUFF Sales & Marketing E.K.,LAGER,2.5,Duff Extra,5
Browar Staropolski,LAGER,3.5,Staropolskie Zlote,6.2
Browar Staropolski,LAGER,2,Staropolskie Mocne,7
Browar Staropolski,LAGER,3.5,Zagloba Mocne,7
Browar Staropolski,LAGER,2,Zorg,8
Browar Staropolski,LAGER,3.5,Zagloba Premium,6
Brasserie Dunham,LAGER,4,Le Rock 66,4
Walnut Brewery,LAGER,5,Sled Dog Red,7.8
Browerij Nacional Balashi,LAGER,3,Balashi,5
Browerij Nacional Balashi,LAGER,2.5,Balashi Chill,5
SonnenbrÃ¤u AG,LAGER,2.5,LÃ¤ndlegold Premium,5
Consorcio Cervecero De Baja California ( La Taberna TJ ),LAGER,3.5,Tijuana Morena,4.8
Harar Beer Factory,LAGER,3.5,Harar Beer,4.25
Coors Brewers Ltd,LAGER,1.5,Carling,4
Coors Brewers Ltd,LAGER,1.5,Carling Premier,4.7
Coors Brewers Ltd,LAGER,2,AnimÃ©e Clear Beer,4
Coors Brewers Ltd,LAGER,2,Carling Chrome,4.8
Consorcio Cervecero De Baja California ( La Taberna TJ ),LAGER,2.5,Tijuana Light,3.5
Consorcio Cervecero De Baja California ( La Taberna TJ ),LAGER,3,Tijuana GÃ¼era,4.8
Staffelberg BrÃ¤u Fam. Geldner-Wehritz,LAGER,4,Landbier-Hell,5
